 ***** Hotel *****
----------------------------------------
room#1	R1_P1
room#2	R1_P2
room#3	R1_P3
room#4	R1_P4
room#5	R1_P5
room#6	R1_P6
room#7	R1_P7
room#8	R1_P8
room#9	R1_P9
room#10	R1_P10
room#11	R1_P11
room#12	R1_P12
room#13	R1_P13
room#14	R1_P14
room#15	R1_P15
room#16	R1_P16
room#17	R1_P17
room#18	R1_P18
room#19	R1_P19
room#20	R1_P20
room#21	R1_P21
room#22	R1_P22
room#23	R1_P23
room#24	R1_P24
room#25	R1_P25
room#26	R1_P26
room#27	R1_P27
room#28	R1_P28
room#29	R1_P29
room#30	R1_P30
room#31	R1_P31
room#32	R1_P32
room#33	R1_P33
room#34	R1_P34
room#35	R1_P35
room#36	R1_P36
room#37	R1_P37
room#38	R1_P38
room#39	R1_P39
room#40	R1_P40
room#41	R1_P41
room#42	R1_P42
room#43	R1_P43
room#44	R1_P44
room#45	R1_P45
room#46	R1_P46
room#47	R1_P47
room#48	R1_P48
room#49	R1_P49
room#50	R1_P50
room#51	R1_P51
room#52	R1_P52
room#53	R1_P53
room#54	R1_P54
room#55	R1_P55
room#56	R1_P56
room#57	R1_P57
room#58	R1_P58
room#59	R1_P59
room#60	R1_P60
room#61	R1_P61
room#62	R1_P62
room#63	R1_P63
room#64	R1_P64
room#65	R1_P65
room#66	R1_P66
room#67	R1_P67
room#68	R1_P68
room#69	R1_P69
room#70	R1_P70
room#71	R1_P71
room#72	R1_P72
room#73	R1_P73
room#74	R1_P74
room#75	R1_P75
room#76	R1_P76
room#77	R1_P77
room#78	R1_P78
room#79	R1_P79
room#80	R1_P80
room#81	R1_P81
room#82	R1_P82
room#83	R1_P83
room#84	R1_P84
room#85	R1_P85
room#86	R1_P86
room#87	R1_P87
room#88	R1_P88
room#89	R1_P89
room#90	R1_P90
room#91	R1_P91
room#92	R1_P92
room#93	R1_P93
room#94	R1_P94
room#95	R1_P95
room#96	R1_P96
room#97	R1_P97
room#98	R1_P98
room#99	R1_P99
room#100	R1_P100
room#101	R1_P101
room#102	R1_P102
room#103	R1_P103
room#104	R1_P104
room#105	R1_P105
room#106	R1_P106
room#107	R1_P107
room#108	R1_P108
room#109	R1_P109
room#110	R1_P110
room#111	R1_P111
room#112	R1_P112
room#113	R1_P113
room#114	R1_P114
room#115	R1_P115
room#116	R1_P116
room#117	R1_P117
room#118	R1_P118
room#119	R1_P119
room#120	R1_P120
room#121	R1_P121
room#122	R1_P122
room#123	R1_P123
room#124	R1_P124
room#125	R1_P125
room#126	R1_P126
room#127	R1_P127
room#128	R1_P128
room#129	R1_P129
room#130	R1_P130
room#131	R1_P131
room#132	R1_P132
room#133	R1_P133
room#134	R1_P134
room#135	R1_P135
room#136	R1_P136
room#137	R1_P137
room#138	R1_P138
room#139	R1_P139
room#140	R1_P140
room#141	R1_P141
room#142	R1_P142
room#143	R1_P143
room#144	R1_P144
room#145	R1_P145
room#146	R1_P146
room#147	R1_P147
room#148	R1_P148
room#149	R1_P149
room#150	R1_P150
room#151	R1_P151
room#152	R1_P152
room#153	R1_P153
room#154	R1_P154
room#155	R1_P155
room#156	R1_P156
room#157	R1_P157
room#158	R1_P158
room#159	R1_P159
room#160	R1_P160
room#161	R1_P161
room#162	R1_P162
room#163	R1_P163
room#164	R1_P164
room#165	R1_P165
room#166	R1_P166
room#167	R1_P167
room#168	R1_P168
room#169	R1_P169
room#170	R1_P170
room#171	R1_P171
room#172	R1_P172
room#173	R1_P173
room#174	R1_P174
room#175	R1_P175
room#176	R1_P176
room#177	R1_P177
room#178	R1_P178
room#179	R1_P179
room#180	R1_P180
room#181	R1_P181
room#182	R1_P182
room#183	R1_P183
room#184	R1_P184
room#185	R1_P185
room#186	R1_P186
room#187	R1_P187
room#188	R1_P188
room#189	R1_P189
room#190	R1_P190
room#191	R1_P191
room#192	R1_P192
room#193	R1_P193
room#194	R1_P194
room#195	R1_P195
room#196	R1_P196
room#197	R1_P197
room#198	R1_P198
